Model,Price Range (₹),Range (km),Battery Capacity (kWh),Segment
MG Comet EV,6.99 – 9.84 Lakh,230,17.3,Compact Hatch
Tata Tiago EV,7.99 – 11.14 Lakh,315,24.0,Hatchback
Tata Punch EV,9.99 – 14.44 Lakh,421,35.0,Compact SUV
Citroen eC3,11.61 – 13.56 Lakh,320,29.2,Hatchback
Tata Tigor EV,12.49 – 13.75 Lakh,315,26.0,Sedan
Tata Nexon EV,12.49 – 17.19 Lakh,465,40.5,SUV
Mahindra XUV400 EV,15.45 – 19.39 Lakh,456,39.4,SUV
MG ZS EV,18.98 – 25.20 Lakh,461,50.3,SUV
Hyundai Kona Electric,23.84 – 24.03 Lakh,452,39.2,SUV
BYD Atto 3,24.99 – 33.99 Lakh,521,60.5,SUV
Hyundai Ioniq 5,44.95 Lakh,631,72.6,Crossover SUV
BYD Seal,41.00 – 53.00 Lakh,650,82.56,Sedan
Kia EV6,60.95 Lakh,528,77.4,Crossover SUV
BMW iX1,49.00 – 70.62 Lakh,417,66.4,Luxury SUV
Mercedes-Benz EQB,76.17 Lakh,423,66.5,Luxury SUV
